year;Valence;Energy;Danceability;GDP;Unemployment;Inflation;Energy_lag1;Unemployment_lag1
2000;0,6151791666666667;0,7104583333333333;0,6756875;10250947997000,0;3,992;3,37685727149929;;
2001;0,5797247311827957;0,686505376344086;0,6606129032258065;10581929774000,0;4,731;2,82617111885407;0,7104583333333333;3,992
2002;0,6044863157894736;0,7076421052631579;0,6686000000000001;10929112955000,0;5,783;1,58603162650601;0,686505376344086;4,731
2003;0,607359793814433;0,6842061855670103;0,6674123711340206;11456442041000,0;5,989;2,27009497336115;0,7076421052631579;5,783
2004;0,5828360824742268;0,675020618556701;0,6774123711340206;12217193198000,0;5,529;2,67723669309172;0,6842061855670103;5,989
2005;0,5484489795918367;0,6734795918367348;0,6734897959183673;13039199193000,0;5,084;3,3927468454955;0,675020618556701;5,529
2006;0,5564285714285715;0,678795918367347;0,6883469387755102;13815586948000,0;4,623;3,22594410070404;0,6734795918367348;5,084
2007;0,5574270833333334;0,7158958333333333;0,65125;14474226905000,0;4,622;2,85267248150138;0,678795918367347;4,623
2008;0,524213;0,70938;0,64869;14769857911000,0;5,784;3,839100296651;0,7158958333333333;4,622
2009;0,5375099999999999;0,72615;0,63241;14478064934000,0;9,254;-0,355546266299747;0,70938;5,784
2010;0,5538659793814433;0,7511855670103093;0,6250412371134021;15048964444000,0;9,633;1,6400434423899;0,72615;9,254
2011;0,5314969387755102;0,7581122448979593;0,6250408163265306;15599728123000,0;8,949;3,156841568622;0,7511855670103093;9,633
2012;0,553426;0,7283499999999999;0,64917;16253972230000,0;8,069;2,06933726526067;0,7581122448979593;8,949
2013;0,5148908163265306;0,7052244897959183;0,6343367346938775;16843190993000,0;7,375;1,46483265562717;0,7283499999999999;8,069
2014;0,522316;0,6931100000000001;0,64693;17550680174000,0;6,168;1,62222297740817;0,7052244897959183;7,375
2015;0,506989898989899;0,6544474747474748;0,6657676767676768;18206020741000,0;5,28;0,118627135552451;0,6931100000000001;6,168
2016;0,4556546391752578;0,6219536082474227;0,6652371134020619;18695110842000,0;4,869;1,26158320570536;0,6544474747474748;5,28
2017;0,5048581632653062;0,6287755102040816;0,7098979591836736;19477336549000,0;4,355;2,13011000365961;0,6219536082474227;4,869
2018;0,4473918367346939;0,6375816326530612;0,7126836734693878;20533057312000,0;3,896;2,44258329692817;0,6287755102040816;4,355
2019;0,4831787878787879;0,6192525252525253;0,7149797979797979;21380976119000,0;3,669;1,81221007526021;0,6375816326530612;3,896
2020;0,48146666666666665;0,6093030303030302;0,6947979797979797;21060473613000,0;8,055;1,23358439630629;0,6192525252525253;3,669
2021;0,4840173469387755;0,595030612244898;0,666826530612245;23315080560000,0;5,349;4,69785886363742;0,6093030303030302;8,055
2022;0,545913;0,6452100000000001;0,66175;25604848907611,0;3,65;8,00279982052121;0,595030612244898;5,349
