year;Unemployment;Energy;Energy_lag1
2001;4,731;0,6759000000000001;0,70133
2002;5,783;0,6977500000000001;0,6759000000000001
2003;5,989;0,67381;0,6977500000000001
2004;5,529;0,67321;0,67381
2005;5,084;0,6716868686868687;0,67321
2006;4,623;0,6756399999999999;0,6716868686868687
2007;4,622;0,70492;0,6756399999999999
2008;5,784;0,70938;0,70492
2009;9,254;0,72615;0,70938
2010;9,633;0,7511855670103093;0,72615
2011;8,949;0,75277;0,7511855670103093
2012;8,069;0,7283499999999999;0,75277
2013;7,375;0,6993636363636363;0,7283499999999999
2014;6,168;0,6931100000000001;0,6993636363636363
2015;5,28;0,652633;0,6931100000000001
2016;4,869;0,6177626262626262;0,652633
2017;4,355;0,6239399999999999;0,6177626262626262
2018;3,896;0,63152;0,6239399999999999
2019;3,669;0,61723;0,63152
2020;8,055;0,6103999999999999;0,61723
2021;5,349;0,6007;0,6103999999999999
2022;3,65;0,6452100000000001;0,6007
