Feature;Lag;Korrelation;Beschreibung
Energy;-2;0,4209957557150742;Energy → Unemployment (2y)
Energy;-1;0,5066337836531528;Energy → Unemployment (1y)
Energy;0;0,5676846388345964;Unemployment → Energy (0y)
Energy;1;0,6304590998008711;Unemployment → Energy (1y)
Energy;2;0,6186726697013004;Unemployment → Energy (2y)
Energy;3;0,38490771987169536;Unemployment → Energy (3y)
Danceability;-2;-0,4922883820763451;Danceability → Unemployment (2y)
Danceability;-1;-0,6794726967704665;Danceability → Unemployment (1y)
Danceability;0;-0,6788661156372209;Unemployment → Danceability (0y)
Danceability;1;-0,5693736173378361;Unemployment → Danceability (1y)
Danceability;2;-0,44683408233386135;Unemployment → Danceability (2y)
Danceability;3;-0,16143884847501364;Unemployment → Danceability (3y)
Valence;-2;0,06916293286760614;Valence → Unemployment (2y)
Valence;-1;0,09391058601652626;Valence → Unemployment (1y)
Valence;0;0,05879859263813639;Unemployment → Valence (0y)
Valence;1;0,15864107079962533;Unemployment → Valence (1y)
Valence;2;0,09430083352418231;Unemployment → Valence (2y)
Valence;3;0,17060271380612058;Unemployment → Valence (3y)
