year;Song;Artist Names;Energy;Crisis;Type
2009;Say Hey (I Love You) (feat. Cherine Tanya Anderson);Michael Franti & Spearhead, Cherine Tanya Anderson;0,983;Financial Crisis;Energetic
2009;Love Drunk;BOYS LIKE GIRLS;0,976;Financial Crisis;Energetic
2009;Empire State Of Mind;JAY-Z, Alicia Keys;0,956;Financial Crisis;Energetic
2008;Shake It;Metro Station;0,955;Financial Crisis;Energetic
2008;Burnin' Up;Jonas Brothers;0,954;Financial Crisis;Energetic
2010;Not Afraid;Eminem;0,954;Financial Crisis;Energetic
2009;Beautiful;"Akon, ""Colby ODonis"", Kardinal Offishall";0,948;Financial Crisis;Energetic
2010;All The Right Moves;OneRepublic;0,948;Financial Crisis;Energetic
2008;Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower) - Explicit Album Version;Three 6 Mafia, Project Pat, Young-D, Superpower;0,946;Financial Crisis;Energetic
2008;The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E;Timbaland, Keri Hilson, D.O.E.;0,945;Financial Crisis;Energetic
2010;The House That Built Me;Miranda Lambert;0,3;Financial Crisis;Low Energy
2008;I Luv Your Girl;The-Dream;0,322;Financial Crisis;Low Energy
2010;Imma Be (Made Famous by Black Eyed Peas);The Future Hit Makers;0,352;Financial Crisis;Low Energy
2008;Shadow of the Day;Linkin Park;0,393;Financial Crisis;Low Energy
2009;Pretty Wings - uncut;Maxwell;0,402;Financial Crisis;Low Energy
2008;Teardrops On My Guitar - Radio Single Remix;Taylor Swift;0,417;Financial Crisis;Low Energy
2008;Lollipop;Lil Wayne, Static Major;0,428;Financial Crisis;Low Energy
2008;Independent (feat. Lil' Boosie and Lil' Phat);Webbie, Boosie Badazz, Lil Phat;0,431;Financial Crisis;Low Energy
2009;Pop Champagne (feat. Juelz Santana) - Explicit Album Version;Jim Jones, Ron Browz, Juelz Santana;0,431;Financial Crisis;Low Energy
2010;Teach Me How to Dougie;Cali Swag District;0,438;Financial Crisis;Low Energy
2020;Lovin' On You;Luke Combs;0,949;COVID;Energetic
2020;Good as Hell;Lizzo;0,919;COVID;Energetic
2021;Bad Habits;Ed Sheeran;0,893;COVID;Energetic
2021;Knife Prty;Deftones;0,883;COVID;Energetic
2020;More Than My Hometown;Morgan Wallen;0,869;COVID;Energetic
2021;Famous Friends;Chris Young, Kane Brown;0,859;COVID;Energetic
2020;Rain On Me (with Ariana Grande);Lady Gaga, Ariana Grande;0,855;COVID;Energetic
2020;Does To Me (feat. Eric Church);Luke Combs, Eric Church;0,849;COVID;Energetic
2020;One Margarita;Luke Bryan;0,842;COVID;Energetic
2021;Just the Way You Are;Bruno Mars;0,841;COVID;Energetic
2021;Lonely (with benny blanco) - Acoustic;Justin Bieber, benny blanco;0,117;COVID;Low Energy
2020;everything i wanted;Billie Eilish;0,225;COVID;Low Energy
2021;Better Together;Luke Combs;0,225;COVID;Low Energy
2021;Happier Than Ever;Billie Eilish;0,225;COVID;Low Energy
2021;Peaches;Jack Black;0,312;COVID;Low Energy
2020;Memories;Maroon 5;0,327;COVID;Low Energy
2021;Arcade;Duncan Laurence;0,329;COVID;Low Energy
2021;traitor;Olivia Rodrigo;0,339;COVID;Low Energy
2021;Therefore I Am;Billie Eilish;0,34;COVID;Low Energy
2020;Lose You To Love Me;Selena Gomez;0,343;COVID;Low Energy
