Land,Finanzkrise,Eurokrise,COVID
ARG,15.805618817672414,65.78502261278011,-13.85003383494508
AUS,8.773964330073168,69.97237376382081,-4.649276630880512
BRA,19.317106500506696,48.33982358389968,-21.202336907575262
CAN,-6.412987260173572,34.334617140567694,-5.04898676102762
CHN,43.9926946329766,87.74408914088563,2.996167986239982
DEU,-0.15818239127981107,9.44297778459338,-0.46707899899541816
FRA,1.6664917846808143,4.296239454131873,-2.749656176443007
GBR,-21.7522385605431,15.129517933738098,-5.2755179586776295
IDN,24.84016430975537,69.11746023434888,-5.365475431542613
IND,10.285841219629628,38.36635278848584,-5.669146680683417
ITA,-0.5867108062996572,-2.546238350147252,-5.551858049496447
JPN,15.497397347192276,-1.4588342418900013,-1.24904111798712
KOR,-19.48106667491102,45.93840007749471,-0.39836056100218736
MEX,-14.416232515049163,40.70210372651065,-14.035776844423472
RUS,-5.928858366676896,87.50073739598541,-11.814856523401899
SAU,3.1573263314874693,79.38931724666364,-13.605610952144637
ZAF,-0.9976838499007509,21.571213652032178,-13.190705202682985
TUR,-4.572785861036521,47.144182628365364,-5.442382674861024
USA,0.026516297037420252,16.33592658812978,-1.4990078292786104
