Land,Krise,Score
ARG,Finanzkrise,0.6240023622391484
AUS,Finanzkrise,0.6416645350479104
BRA,Finanzkrise,0.7047838835318868
CAN,Finanzkrise,0.42767240185821204
CHN,Finanzkrise,0.5490434254479198
DEU,Finanzkrise,0.6099318815287098
FRA,Finanzkrise,0.5563268105954666
GBR,Finanzkrise,0.4394649877372387
IDN,Finanzkrise,0.7902877456751952
IND,Finanzkrise,0.4579694490160408
ITA,Finanzkrise,0.5382401656582372
JPN,Finanzkrise,0.6223277771774517
KOR,Finanzkrise,0.5615707404165876
MEX,Finanzkrise,0.4480851766749097
RUS,Finanzkrise,0.38021333724949774
SAU,Finanzkrise,0.6703344303419928
ZAF,Finanzkrise,0.5565750548834171
TUR,Finanzkrise,0.32254866915833
USA,Finanzkrise,0.25674831404316717
ARG,Eurokrise,0.7195543508518163
AUS,Eurokrise,0.7401542945400484
BRA,Eurokrise,0.7072946596790088
CAN,Eurokrise,0.66563900333938
CHN,Eurokrise,0.6190126041151894
DEU,Eurokrise,0.5810392254918845
FRA,Eurokrise,0.4640693522948662
GBR,Eurokrise,0.5642797058463708
IDN,Eurokrise,0.7100335012071936
IND,Eurokrise,0.6120470842068709
ITA,Eurokrise,0.3249107110858478
JPN,Eurokrise,0.4458780869186207
KOR,Eurokrise,0.6097802328652252
MEX,Eurokrise,0.5931500524356992
RUS,Eurokrise,0.6074263208755291
SAU,Eurokrise,0.7067683706711789
ZAF,Eurokrise,0.46858385034076117
TUR,Eurokrise,0.7834735984899829
USA,Eurokrise,0.5343726910035781
ARG,COVID,0.28297648080546506
AUS,COVID,0.7492838509150793
BRA,COVID,0.4948967253200456
CAN,COVID,0.5517709641778794
CHN,COVID,0.9161566367398342
DEU,COVID,0.8261524839001458
FRA,COVID,0.8880908070478993
GBR,COVID,0.7697241655321404
IDN,COVID,0.7677231487589401
IND,COVID,0.6664041252311322
ITA,COVID,0.86483119275856
JPN,COVID,0.8560885665930811
KOR,COVID,0.8956719230208413
MEX,COVID,0.6542618589097144
RUS,COVID,0.650482020228002
SAU,COVID,0.4638088780383711
ZAF,COVID,0.6614559207098181
TUR,COVID,0.7961685145191068
USA,COVID,0.5923152926952623
