Land,Finanzkrise,Eurokrise,COVID
ARG,0.17499999999999893,-1.545,1.6180000000000003
AUS,1.1840000000000002,0.09799999999999986,1.2510000000000003
BRA,0.13900000000000112,-2.3480000000000008,1.7609999999999992
CAN,2.304000000000001,-1.317000000000001,3.9669999999999996
CHN,0.3700000000000001,-0.1200000000000001,0.4400000000000004
DEU,-0.8519999999999994,-2.564,0.718
FRA,1.1140000000000008,0.7910000000000004,-0.4059999999999988
GBR,2.284,0.06899999999999995,0.8150000000000004
IDN,-1.9540000000000006,-1.7699999999999996,0.665
IND,0.07399999999999984,0.041999999999999815,1.3490000000000002
ITA,1.673,4.3999999999999995,-0.6920000000000002
JPN,1.1799999999999997,-1.0299999999999994,0.4580000000000002
KOR,0.3500000000000001,-0.2959999999999998,0.18500000000000005
MEX,1.7279999999999998,-0.4349999999999996,0.9630000000000005
RUS,2.2990000000000004,-2.7880000000000003,1.1070000000000002
SAU,-0.3570000000000002,0.22299999999999986,2.024
ZAF,1.2629999999999981,1.0380000000000003,0.7489999999999988
TUR,3.7409999999999997,-4.313000000000001,-0.5820000000000007
USA,4.632,-1.8789999999999996,4.385999999999999
